LSOA.code,LSOA.name,Population.all,People_per_Sq_Km
E01008144,Sheffield 001A,"1,592",622
E01008145,Sheffield 001B,"1,455","2,549"
E01008148,Sheffield 001C,"1,517","1,965"
E01008149,Sheffield 001D,"1,428",964
E01008150,Sheffield 001E,"1,477","4,412"
E01008142,Sheffield 002A,"1,504","3,580"
E01008143,Sheffield 002B,"1,592","1,604"
E01008146,Sheffield 002C,"1,240","5,162"
E01008147,Sheffield 002D,"1,370",117
E01007888,Sheffield 003A,"1,354","3,549"
E01007892,Sheffield 003B,"1,508","5,729"
E01007893,Sheffield 003C,"1,493","1,368"
E01007898,Sheffield 003D,"1,400","1,131"
E01007899,Sheffield 003E,"1,384","2,110"
E01007900,Sheffield 003F,"1,752","4,860"
E01007901,Sheffield 003G,"1,520","5,348"
E01007887,Sheffield 004A,"1,363","4,815"
E01007889,Sheffield 004B,"2,661","1,595"
E01007890,Sheffield 004C,"1,408","5,354"
E01007891,Sheffield 004D,"1,496",989
E01007894,Sheffield 004E,"1,379","1,408"
E01007895,Sheffield 004F,"1,435","4,749"
E01007896,Sheffield 004G,"1,236","3,943"
E01007897,Sheffield 005A,"1,334","1,348"
E01008134,Sheffield 005B,"1,252",992
E01008135,Sheffield 005C,"1,750",314
E01008137,Sheffield 005D,"1,439","1,199"
E01008141,Sheffield 005E,"1,589",770
E01008053,Sheffield 006A,"1,340","5,072"
E01008056,Sheffield 006B,"1,517","5,772"
E01008058,Sheffield 006C,"1,526","3,465"
E01008138,Sheffield 006D,"1,301","4,389"
E01008139,Sheffield 006E,"1,574","4,124"
E01007856,Sheffield 007A,"1,250","1,733"
E01008054,Sheffield 007B,"1,336","6,851"
E01008055,Sheffield 007C,"1,704","4,308"
E01008057,Sheffield 007D,"1,586","4,973"
E01008126,Sheffield 008A,"1,493","1,685"
E01008128,Sheffield 008C,"1,754",15
E01008136,Sheffield 008D,"1,349","1,041"
E01008140,Sheffield 008E,"1,948","3,477"
E01033275,Sheffield 008F,"1,718","3,801"
E01033280,Sheffield 008G,"1,561",555
E01008085,Sheffield 009A,"1,426","4,912"
E01008086,Sheffield 009B,"1,322","3,879"
E01008116,Sheffield 009C,"1,321","3,668"
E01008117,Sheffield 009D,"1,264","3,940"
E01008118,Sheffield 009E,"1,432","3,976"
E01008119,Sheffield 009F,"1,236","3,476"
E01008125,Sheffield 009G,"1,523","5,228"
E01007849,Sheffield 010A,"2,195","3,945"
E01007857,Sheffield 010B,"1,625","4,997"
E01008059,Sheffield 010C,"1,544","6,664"
E01008060,Sheffield 010D,"1,459","4,974"
E01008061,Sheffield 011A,"1,603","5,808"
E01008063,Sheffield 011B,"1,469","3,055"
E01033277,Sheffield 011E,"2,612","3,583"
E01008087,Sheffield 012A,"1,474","3,644"
E01008088,Sheffield 012B,"1,366","5,124"
E01008090,Sheffield 012C,"1,653","5,562"
E01008092,Sheffield 012D,"1,479","2,228"
E01008122,Sheffield 012E,"1,496","6,640"
E01008124,Sheffield 012F,"1,456","5,665"
E01007848,Sheffield 013A,"1,841","5,437"
E01007851,Sheffield 013B,"1,390","3,161"
E01007947,Sheffield 013C,"1,616","5,242"
E01007948,Sheffield 013D,"1,800","7,481"
E01008062,Sheffield 013E,"1,720","8,301"
E01007847,Sheffield 014A,"1,291","8,166"
E01007850,Sheffield 014B,"1,533","1,557"
E01007852,Sheffield 014C,"1,500","1,430"
E01007853,Sheffield 014D,"1,761","4,464"
E01007854,Sheffield 014E,"1,746","3,229"
E01007855,Sheffield 014F,"2,089","4,568"
E01007941,Sheffield 015A,"1,575","4,329"
E01007945,Sheffield 015B,"1,777","6,187"
E01007946,Sheffield 015C,"1,593","6,502"
E01007950,Sheffield 015D,"1,589","6,438"
E01008123,Sheffield 015E,"1,314","3,642"
E01007987,Sheffield 016A,"1,505","8,635"
E01007988,Sheffield 016B,"1,506","4,742"
E01007989,Sheffield 016C,"1,429","10,984"
E01007991,Sheffield 016D,"1,518","5,297"
E01007995,Sheffield 017A,"1,447","10,593"
E01008089,Sheffield 017B,"1,686","1,137"
E01008091,Sheffield 017C,"1,474","2,900"
E01008093,Sheffield 017D,"1,489","1,332"
E01007903,Sheffield 018A,"1,650",710
E01007904,Sheffield 018B,"1,829",990
E01007913,Sheffield 018C,"1,689",620
E01007914,Sheffield 018D,"1,598","5,983"
E01007870,Sheffield 019A,"1,912","3,496"
E01007871,Sheffield 019B,"1,891","4,053"
E01007943,Sheffield 019C,"1,717","5,733"
E01008094,Sheffield 019D,"1,326","3,252"
E01007869,Sheffield 020A,"1,796","5,230"
E01007872,Sheffield 020B,"1,773","3,845"
E01007873,Sheffield 020C,"1,985","3,636"
E01007942,Sheffield 020D,"2,203","5,262"
E01007949,Sheffield 020E,"1,921","9,169"
E01007990,Sheffield 021A,"1,413","4,414"
E01007992,Sheffield 021B,"1,640","10,726"
