Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01008144,Sheffield 001A,"1,676",21,11,12,9,16,17,30,12,17,20,17,25,21,30,18,17,22,14,19,15,14,16,13,15,22,37,23,27,22,31,21,18,16,14,17,22,14,21,26,16,21,31,24,24,27,30,33,25,31,22,27,24,18,25,20,20,16,12,18,22,21,15,16,18,25,19,21,17,24,20,24,16,17,20,12,13,11,13,16,9,8,9,8,7,9,4,9,8,1,4,24
E01008145,Sheffield 001B,"1,419",15,12,11,13,15,7,14,12,15,14,18,11,13,23,12,12,9,12,13,14,19,12,10,16,15,29,18,15,9,14,14,12,11,13,16,12,14,17,19,20,16,10,12,15,21,18,14,27,20,14,22,23,20,23,25,21,28,23,28,21,21,19,19,14,14,14,19,21,25,18,27,17,18,12,13,19,16,15,14,16,11,10,11,11,10,7,8,8,4,3,14
E01008148,Sheffield 001C,"1,500",10,11,17,23,22,16,19,21,24,26,15,18,19,21,15,16,19,18,18,12,14,8,16,12,16,18,16,12,14,14,14,22,17,12,7,15,14,17,28,16,13,13,16,21,18,18,24,19,22,32,21,23,20,25,12,13,18,28,23,24,22,9,18,16,10,14,18,28,19,23,23,17,18,19,13,20,16,11,8,12,8,12,15,8,7,7,6,10,5,6,17
E01008149,Sheffield 001D,"1,437",16,7,14,10,10,16,18,9,21,14,21,14,13,20,12,9,16,15,13,11,17,12,14,21,16,22,20,18,11,14,10,13,17,13,14,20,18,10,13,17,8,15,30,20,24,26,19,29,19,12,24,21,18,24,23,29,18,30,14,23,18,18,13,17,22,15,23,14,25,20,30,25,20,18,15,18,15,11,10,9,8,8,4,2,3,6,11,4,4,3,13
E01008150,Sheffield 001E,"1,489",13,8,15,12,17,13,20,17,18,17,16,22,16,9,19,17,17,13,16,9,12,14,15,16,14,24,16,26,11,17,20,10,15,15,17,18,24,21,13,18,12,13,19,19,16,19,25,19,13,25,19,20,18,17,11,21,14,21,15,25,21,14,21,21,19,21,20,18,24,33,16,14,18,16,13,14,8,11,13,9,14,19,11,13,12,4,6,6,7,7,45
E01008142,Sheffield 002A,"1,544",23,19,22,17,28,22,10,22,17,19,18,27,23,17,19,19,29,21,18,16,20,8,12,17,10,25,30,21,25,18,19,18,22,18,15,29,24,28,30,23,14,25,21,17,22,22,23,29,24,22,36,25,13,28,14,22,22,17,20,14,9,18,15,11,17,14,12,16,10,11,13,9,12,10,12,8,10,5,8,4,6,5,6,6,5,3,5,4,4,6,22
E01008143,Sheffield 002B,"1,584",14,10,14,17,14,10,10,14,15,15,14,28,13,18,15,18,8,21,16,12,12,14,12,18,14,29,20,25,24,16,20,20,21,15,14,19,16,26,15,15,22,24,20,23,23,24,32,27,26,24,36,22,30,26,30,27,20,28,30,36,29,15,18,15,10,18,20,23,14,23,22,10,18,14,13,16,8,16,17,13,11,10,10,8,1,2,2,1,2,1,13
E01008146,Sheffield 002C,"1,258",10,15,12,13,12,8,10,14,13,16,11,11,14,17,13,8,9,11,14,15,11,9,6,13,9,11,25,14,16,13,3,6,7,7,8,8,10,21,16,12,13,14,13,10,25,17,16,28,28,19,22,22,26,18,19,22,19,19,19,15,13,24,17,15,19,20,14,20,23,17,26,15,28,30,14,18,9,5,8,13,11,7,8,5,3,4,7,0,2,2,6
E01008147,Sheffield 002D,"1,382",12,5,9,13,9,5,8,6,18,15,9,13,14,10,13,15,16,7,8,6,9,11,10,19,13,25,12,14,13,15,10,12,9,7,11,9,13,12,13,7,14,19,18,13,19,21,15,21,22,16,21,18,19,19,31,27,19,23,26,23,23,17,18,23,28,17,22,20,30,37,31,25,25,32,27,15,16,19,8,11,9,9,11,14,2,5,3,6,7,2,11
E01007888,Sheffield 003A,"1,345",15,18,10,11,14,11,16,11,14,11,16,14,15,19,9,12,19,11,13,11,14,13,11,14,11,25,12,25,11,14,15,10,16,6,9,17,20,25,15,23,22,14,10,18,15,22,31,25,27,27,25,26,26,20,22,15,20,15,17,19,23,19,18,17,18,19,20,26,13,26,27,18,17,17,12,7,10,3,8,5,5,4,6,2,4,2,0,3,0,1,3
E01007892,Sheffield 003B,"1,526",16,30,14,24,15,21,22,14,25,16,24,21,18,22,15,11,25,12,17,15,19,14,19,19,24,23,30,18,18,16,13,18,14,10,13,25,16,18,15,14,10,14,6,10,18,20,24,22,29,23,23,18,27,25,21,23,17,17,21,23,16,18,27,22,14,11,15,12,22,14,20,14,14,16,18,10,10,17,9,20,12,13,4,5,12,2,6,7,3,2,17
E01007893,Sheffield 003C,"1,462",11,9,9,14,7,13,9,8,12,12,14,14,18,15,12,14,14,10,10,11,15,14,16,11,16,11,16,18,9,10,8,17,21,13,13,14,14,16,15,8,13,12,11,18,21,21,21,28,30,19,24,19,18,27,17,29,32,24,25,28,26,23,18,18,22,16,27,11,18,29,40,18,17,24,26,15,19,13,20,16,14,13,16,11,10,9,12,2,3,2,6
E01007898,Sheffield 003D,"1,361",11,13,17,14,10,6,18,19,9,20,15,13,15,11,12,10,9,14,12,12,20,19,14,16,16,15,14,13,16,12,14,16,15,18,10,18,14,17,19,15,18,13,21,22,19,29,15,19,16,29,21,29,25,23,24,32,33,30,26,35,22,22,19,15,22,16,13,12,15,12,13,11,14,10,9,10,8,10,3,3,6,7,7,3,6,4,1,2,3,2,11
E01007899,Sheffield 003E,"1,403",11,8,17,10,9,14,7,13,12,17,12,14,14,12,6,19,14,9,12,15,20,16,12,7,10,9,7,7,7,9,11,14,11,12,6,11,18,9,15,15,15,9,14,10,15,15,17,23,18,20,14,26,20,26,19,20,21,23,23,14,29,33,23,21,23,26,31,22,26,28,29,22,29,28,27,15,12,16,19,11,19,11,6,16,9,3,9,7,4,3,13
