Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01008144,Sheffield 001A,841,12,5,6,4,6,7,12,7,8,6,10,11,12,20,10,10,14,6,6,8,6,8,6,7,9,20,7,18,12,20,10,15,9,3,10,10,7,10,18,11,13,12,9,9,9,15,12,20,20,14,10,11,6,11,7,14,5,5,10,7,12,12,10,8,8,11,11,8,11,9,13,9,10,9,4,8,4,8,8,5,3,6,8,4,3,2,3,2,0,1,16
E01008145,Sheffield 001B,703,6,6,6,8,8,4,7,6,8,5,11,2,6,10,5,6,4,4,5,4,9,7,4,7,5,20,6,7,1,6,2,6,4,7,5,7,7,9,9,13,7,7,6,5,11,9,5,12,9,5,10,16,14,12,18,12,13,14,11,9,7,8,5,9,8,7,8,8,15,10,17,8,6,6,6,11,8,6,8,12,6,6,3,8,7,4,6,5,4,3,11
E01008148,Sheffield 001C,785,6,6,9,16,15,11,9,9,11,11,3,9,11,10,5,9,7,11,12,7,7,5,8,4,7,13,8,8,6,7,8,12,8,6,5,5,6,8,14,8,7,6,8,13,12,9,10,10,11,20,12,18,9,15,4,4,7,13,12,11,15,7,10,7,6,6,11,18,15,11,9,11,10,8,4,11,8,3,2,6,5,9,8,3,4,4,4,5,4,3,7
E01008149,Sheffield 001D,734,10,4,7,6,2,7,6,4,12,7,8,8,4,5,6,6,10,7,9,3,8,7,9,9,8,14,7,9,6,9,7,6,11,6,5,12,9,4,6,8,1,7,15,11,15,16,11,15,6,9,11,13,8,9,8,13,13,14,3,15,9,11,7,9,12,13,10,9,15,8,19,12,10,9,8,8,10,8,5,5,4,6,2,1,2,3,4,4,0,2,5
E01008150,Sheffield 001E,760,8,1,10,9,7,5,8,8,10,6,5,14,5,2,7,8,5,5,10,5,5,6,11,7,7,10,11,16,4,10,10,5,6,7,10,10,14,13,8,12,6,8,10,8,8,4,9,8,6,9,9,13,10,9,9,12,8,13,7,11,13,8,10,13,9,8,12,10,6,17,10,8,7,8,8,4,5,5,7,4,9,8,8,8,10,4,4,4,3,6,27
E01008142,Sheffield 002A,787,10,12,11,6,14,11,8,15,7,7,6,15,13,12,11,3,18,9,7,7,8,6,7,6,5,14,13,13,13,8,7,11,11,8,4,16,10,17,12,13,7,13,11,6,10,11,14,14,13,9,18,12,8,18,7,14,9,10,9,2,5,8,8,5,10,7,8,9,4,4,8,5,8,3,6,3,6,3,4,2,5,4,3,5,4,3,3,1,2,4,18
E01008143,Sheffield 002B,799,8,5,7,9,5,6,7,8,10,7,9,16,5,5,4,8,6,7,8,3,4,7,6,10,10,13,14,9,10,7,11,9,11,9,7,13,8,10,8,6,12,13,8,16,14,16,19,10,15,16,9,12,12,11,15,12,7,14,18,16,16,11,9,7,5,9,9,16,5,14,13,5,11,7,7,7,4,10,11,8,6,3,4,5,0,0,1,1,1,0,4
E01008146,Sheffield 002C,639,4,6,8,5,3,5,1,7,5,8,7,1,8,9,10,7,4,6,7,6,6,6,2,6,5,8,12,8,5,5,2,2,5,4,3,5,5,13,11,6,6,8,7,5,13,8,8,13,13,5,10,11,14,7,13,12,10,10,6,10,8,14,6,8,7,10,5,15,13,12,11,8,18,18,5,8,3,3,7,7,5,5,3,3,2,4,3,0,0,1,2
E01008147,Sheffield 002D,714,3,3,6,4,2,1,5,4,9,7,7,8,6,4,8,5,8,2,3,2,7,6,4,8,3,14,6,10,7,9,5,11,7,4,5,5,7,8,6,2,6,10,11,6,10,12,9,10,11,7,13,9,5,11,14,14,11,15,14,7,10,9,9,17,13,10,13,9,18,19,14,12,12,13,17,9,6,9,4,6,2,3,6,10,1,4,3,4,5,2,9
E01007888,Sheffield 003A,664,6,6,5,6,7,5,11,4,5,6,7,6,7,10,2,8,12,5,5,7,7,4,3,8,6,8,5,12,7,8,10,4,11,4,5,9,10,16,6,14,12,8,2,11,3,14,16,10,8,16,11,11,16,10,12,8,8,9,9,9,14,9,11,9,8,9,11,13,7,10,10,9,7,9,6,4,6,0,2,3,2,2,4,0,2,2,0,2,0,1,2
E01007892,Sheffield 003B,824,11,10,6,8,7,11,16,7,13,6,15,8,8,11,9,7,14,6,8,6,9,8,7,7,16,16,21,12,13,11,6,10,9,4,9,14,7,9,8,8,3,9,4,5,9,14,16,12,15,12,13,8,14,14,14,12,10,9,11,6,8,12,16,10,4,7,6,9,9,7,9,7,6,8,7,6,7,11,4,12,9,6,3,4,7,1,3,4,3,2,16
E01007893,Sheffield 003C,746,5,5,3,3,3,6,3,3,5,5,8,6,12,9,6,7,5,5,3,5,7,7,7,5,7,7,8,8,3,6,3,8,11,6,7,9,7,6,7,5,4,6,6,11,6,12,10,21,14,8,13,12,8,13,8,16,20,10,13,11,18,10,6,11,10,11,12,8,4,14,24,12,9,12,17,7,12,9,10,9,5,8,11,7,6,6,7,1,3,1,3
E01007898,Sheffield 003D,689,1,7,5,8,6,1,8,11,6,5,8,4,5,5,7,6,5,7,7,6,10,9,6,11,7,7,9,7,11,6,7,10,12,10,6,7,3,10,10,4,7,4,11,13,13,13,7,10,7,10,13,15,11,11,17,12,19,15,11,19,11,11,5,8,10,12,8,4,7,5,7,5,10,7,5,4,4,6,2,2,5,6,4,2,2,4,1,2,3,2,7
E01007899,Sheffield 003E,727,4,3,5,2,4,8,6,6,6,8,9,10,7,9,5,10,6,5,8,5,7,4,5,2,3,6,3,5,5,6,6,10,6,4,5,7,11,4,10,11,7,3,7,4,6,11,10,11,9,11,8,13,14,15,11,10,10,10,9,9,21,21,13,12,12,9,12,12,15,19,9,9,12,16,15,8,4,4,7,4,12,6,2,8,6,1,4,5,3,0,12
E01007900,Sheffield 003F,885,13,9,17,5,7,13,7,11,5,13,10,7,8,11,12,9,7,16,5,10,7,9,6,10,10,14,13,10,14,9,20,12,15,11,13,14,11,6,13,8,8,15,10,8,13,17,15,8,14,12,13,12,14,17,10,11,12,9,9,7,6,12,9,7,8,17,8,11,16,15,15,12,7,9,11,4,9,5,3,7,5,5,2,5,5,4,1,3,3,0,7
E01007901,Sheffield 003G,781,6,9,8,9,6,9,15,6,10,10,10,10,9,13,10,9,13,10,8,8,6,4,6,7,6,10,14,7,12,8,8,13,9,8,6,9,10,10,5,8,11,8,8,6,10,10,6,15,17,10,15,6,11,14,10,4,4,14,10,4,3,8,16,7,6,9,10,8,11,14,12,12,9,9,9,4,6,8,4,7,5,1,8,6,2,6,1,2,6,2,23
E01007887,Sheffield 004A,729,10,3,6,7,5,11,5,11,8,3,6,7,9,11,4,11,11,12,12,8,7,2,1,5,7,7,11,4,10,12,7,9,12,7,13,8,11,3,10,11,10,8,11,9,10,8,12,8,16,8,11,11,11,10,13,11,13,10,13,10,7,10,13,14,7,2,4,11,6,5,12,11,13,10,6,4,3,6,3,2,5,1,4,4,3,3,2,1,7,6,14
E01007889,Sheffield 004B,"1,348",11,10,15,10,18,24,18,21,16,24,17,13,17,13,15,13,8,17,9,14,14,8,13,9,13,16,17,16,17,15,16,21,14,16,15,17,9,19,21,23,22,23,18,30,28,23,28,29,26,18,19,18,16,17,22,27,20,18,18,9,10,10,16,14,6,18,14,14,13,17,22,16,10,13,17,13,9,5,2,7,7,6,9,2,2,8,1,8,5,3,10
E01007890,Sheffield 004C,699,2,6,3,5,4,5,5,7,3,4,3,7,11,8,12,6,10,4,6,1,8,6,3,3,15,9,3,7,6,4,10,7,4,6,6,10,5,5,11,9,13,10,14,7,12,14,11,11,10,6,9,10,10,10,13,11,8,7,12,12,11,8,8,9,13,5,9,13,16,7,12,13,8,10,10,6,9,8,7,7,5,8,5,5,5,4,3,3,3,2,8
E01007891,Sheffield 004D,794,9,6,10,9,2,6,5,6,6,13,4,4,4,4,5,6,11,7,10,4,6,5,3,5,4,9,11,10,4,2,5,3,5,4,5,4,8,12,6,6,10,10,9,9,15,13,6,9,8,11,8,9,13,8,9,12,15,13,13,18,11,10,9,10,7,14,8,17,12,17,16,13,21,10,14,11,11,10,14,18,10,3,9,3,6,6,7,14,8,3,6
E01007894,Sheffield 004E,693,6,5,6,6,6,4,7,9,6,7,8,7,18,8,6,6,6,2,4,2,3,5,9,7,9,11,11,11,8,8,10,7,10,11,7,12,8,9,8,8,8,13,14,12,10,12,10,13,15,10,10,7,9,7,10,10,7,13,8,6,11,10,8,6,9,4,10,10,9,4,12,8,5,5,5,6,6,6,4,11,8,6,3,4,2,3,0,3,3,3,4
E01007895,Sheffield 004F,733,7,7,7,8,6,8,5,6,6,3,6,12,6,8,11,6,7,11,6,8,7,9,7,12,8,7,9,2,5,7,4,5,6,5,5,7,10,4,14,3,5,7,7,8,8,17,19,17,8,16,8,10,12,6,16,12,16,10,6,9,8,9,9,11,11,9,8,11,6,16,10,8,9,9,8,7,7,7,3,7,6,4,8,6,8,6,2,6,3,4,10
E01007896,Sheffield 004G,607,4,3,3,3,9,7,7,4,14,1,2,5,4,4,2,4,4,5,11,8,7,6,2,8,3,5,5,4,6,4,1,3,7,4,5,12,10,4,10,7,6,4,8,12,10,10,6,9,7,6,11,5,9,11,9,9,13,15,11,7,9,9,13,9,16,12,12,10,14,13,10,6,6,8,3,3,3,6,6,9,7,5,3,9,1,2,0,1,0,1,6
E01007897,Sheffield 005A,651,4,6,5,6,5,5,0,3,2,4,7,3,3,2,4,2,0,4,3,0,2,5,3,0,4,7,6,7,3,9,9,4,8,2,1,7,6,4,7,2,8,6,7,4,10,6,6,15,14,7,12,10,4,7,12,5,11,9,12,10,11,11,12,7,7,12,18,17,16,13,22,13,15,22,9,14,9,6,13,8,8,9,9,6,4,3,3,2,1,1,11
E01008134,Sheffield 005B,632,3,5,5,4,1,4,9,4,8,1,2,3,8,4,6,4,7,6,6,3,4,2,5,1,7,10,9,11,3,6,5,8,5,4,5,6,8,6,4,4,4,5,6,6,7,7,9,8,11,9,11,8,7,12,14,12,14,11,8,7,8,8,5,8,11,16,13,4,6,11,16,8,6,12,8,9,3,10,6,7,7,11,8,7,7,5,3,5,5,6,11
E01008135,Sheffield 005C,855,4,3,10,6,7,13,12,6,8,5,9,4,8,6,7,5,13,8,2,11,9,7,5,14,8,16,13,17,10,8,5,4,6,11,8,11,13,10,9,13,8,10,8,9,11,15,15,23,13,13,17,17,12,16,9,16,8,12,11,9,10,7,13,13,13,10,13,9,6,13,13,9,14,13,6,6,7,4,9,3,6,8,6,7,6,11,6,1,6,1,10
E01008137,Sheffield 005D,737,2,4,3,3,2,4,7,7,5,5,6,9,4,11,7,3,4,8,6,11,8,5,7,3,4,10,5,5,2,9,9,6,6,6,3,10,8,6,4,6,7,4,7,8,11,13,8,10,7,11,18,10,11,12,9,13,5,20,7,15,12,17,2,12,12,9,7,9,14,13,12,15,20,24,12,6,7,7,7,12,7,12,8,9,5,8,4,4,0,0,12
E01008141,Sheffield 005E,806,5,9,0,6,3,8,7,6,6,12,5,14,12,7,5,8,8,6,8,3,4,2,8,9,9,7,5,8,7,6,8,5,10,5,7,13,9,7,7,11,9,14,9,15,14,11,14,7,13,7,13,12,9,17,13,14,13,13,11,7,9,13,13,11,10,15,20,14,8,13,10,11,9,10,11,13,13,8,11,7,4,7,3,8,5,7,8,7,2,5,1
E01008053,Sheffield 006A,662,4,6,5,4,13,5,6,3,7,14,8,8,11,10,2,10,7,11,7,4,5,3,3,4,6,19,7,6,6,13,7,7,6,9,12,7,8,7,9,8,5,8,8,9,8,9,17,11,10,8,11,7,6,7,11,8,11,6,12,11,7,5,3,6,7,10,9,8,8,3,4,6,6,9,8,13,7,6,6,15,7,5,2,3,1,6,3,1,2,1,5
E01008056,Sheffield 006B,792,7,9,9,6,11,7,7,9,9,9,9,11,15,10,11,7,13,14,12,10,9,6,5,6,13,13,12,11,11,11,19,9,5,14,10,13,12,17,15,5,12,7,8,9,4,11,18,13,10,16,8,7,15,13,12,8,10,10,5,9,9,7,6,8,8,9,8,12,4,10,15,8,4,4,5,5,3,7,3,2,3,4,4,3,3,4,2,2,4,3,7
E01008058,Sheffield 006C,812,7,6,4,6,4,6,9,14,8,10,4,3,10,10,7,12,7,6,5,8,5,7,9,10,10,15,13,11,10,6,6,6,10,14,6,8,9,7,14,10,12,8,4,12,11,9,11,19,18,10,10,8,12,14,4,19,9,16,9,9,14,6,8,10,9,10,7,10,16,10,19,14,5,4,10,13,14,4,9,8,8,5,3,6,4,5,6,3,6,2,8
E01008138,Sheffield 006D,670,1,4,1,5,2,7,6,11,5,2,4,7,3,8,12,3,8,10,10,5,6,3,3,5,5,10,9,6,5,6,10,7,6,9,8,4,7,9,4,3,5,12,3,12,6,3,7,9,10,8,10,14,8,11,7,17,11,8,10,10,5,13,10,7,9,11,6,8,9,10,10,5,11,7,9,9,15,8,6,7,7,9,13,2,8,5,3,3,4,4,17
E01008139,Sheffield 006E,813,4,4,7,4,9,8,6,8,4,8,6,9,10,14,9,8,11,11,7,3,10,8,13,16,4,11,10,11,16,12,4,12,13,16,10,14,8,4,11,9,11,7,12,8,8,18,11,15,11,12,7,13,15,12,8,7,14,14,9,8,5,6,8,5,6,7,6,10,8,8,19,14,6,16,13,8,8,10,9,13,3,5,6,7,7,2,1,4,2,3,6
E01007856,Sheffield 007A,673,9,1,9,11,14,16,14,12,11,12,7,9,6,10,5,10,6,5,7,7,10,5,7,5,7,13,13,13,11,17,18,13,16,5,9,14,6,11,7,3,5,9,4,10,6,14,7,10,10,12,8,10,12,7,5,7,8,10,11,5,6,8,6,6,5,5,6,3,5,4,3,1,4,3,6,0,5,6,5,1,1,8,1,7,4,2,1,1,1,1,4
E01008054,Sheffield 007B,705,13,7,11,14,9,9,12,7,9,9,9,10,7,8,6,5,4,11,7,7,7,8,9,2,12,18,12,22,22,24,6,12,15,14,8,10,11,13,8,6,11,6,7,15,14,8,12,12,11,7,14,10,11,9,8,4,11,7,8,5,6,4,6,6,4,8,2,5,2,7,3,2,6,4,3,5,2,1,0,2,6,1,3,2,2,3,0,3,2,1,1
E01008055,Sheffield 007C,912,10,17,9,15,21,21,17,20,15,14,8,17,14,17,13,5,6,6,3,5,9,8,9,5,12,23,19,17,20,18,21,14,14,21,8,9,8,7,12,10,10,6,7,9,15,12,13,15,14,11,15,19,16,9,8,7,12,7,11,8,5,6,3,4,5,8,6,4,7,4,7,9,9,5,3,7,2,2,6,4,5,1,10,5,2,4,4,3,4,3,24
E01008057,Sheffield 007D,884,11,20,11,16,13,18,18,14,18,15,16,17,17,15,12,15,10,7,7,4,9,13,12,10,13,15,10,14,18,14,11,18,13,14,16,6,12,13,14,15,5,8,13,9,13,15,12,18,15,10,18,13,11,11,10,8,8,11,6,7,10,9,7,1,6,7,7,2,4,3,6,2,6,4,2,4,7,5,4,2,5,3,5,3,1,2,0,6,3,2,1
E01008126,Sheffield 008A,797,4,12,10,8,9,10,7,7,8,12,7,4,9,6,7,7,7,8,5,4,9,12,3,12,13,9,6,0,8,4,2,6,4,5,3,6,9,7,6,5,5,15,1,11,13,9,8,18,14,10,9,11,12,20,9,14,20,19,10,10,7,11,6,15,8,14,9,10,6,22,17,15,19,13,11,8,16,6,13,7,5,7,8,5,7,3,2,1,2,1,5
E01008128,Sheffield 008C,890,8,7,12,6,8,11,7,7,13,8,9,13,9,8,7,7,8,7,9,5,5,8,9,4,5,8,11,4,14,14,7,12,7,10,12,9,12,12,9,15,10,15,12,11,16,11,11,15,17,13,18,14,15,19,17,10,17,15,16,14,13,11,16,10,9,8,15,10,8,13,13,18,10,13,12,10,6,4,8,11,4,3,2,6,5,1,2,3,2,1,1
E01008136,Sheffield 008D,719,5,7,3,9,5,6,9,12,9,8,17,8,6,7,5,8,10,9,5,9,2,5,5,6,3,14,4,14,10,9,3,7,7,6,7,8,11,10,6,6,10,7,12,11,16,12,21,13,12,10,8,10,11,8,7,12,6,13,15,8,10,7,7,9,13,8,15,9,8,7,11,9,11,3,10,1,9,3,7,3,4,7,2,7,3,2,4,0,0,3,5
E01008140,Sheffield 008E,982,8,10,10,12,17,18,15,11,8,10,13,15,14,13,10,5,6,6,5,6,8,9,9,6,3,14,9,14,10,10,11,6,16,16,14,13,16,8,11,20,14,12,16,20,17,17,12,17,7,15,14,20,11,13,10,19,11,17,9,13,10,9,6,9,12,10,12,13,9,6,11,11,11,8,5,5,5,6,11,8,11,6,9,7,4,7,1,9,4,4,24
E01033275,Sheffield 008F,859,10,11,5,4,7,7,14,9,16,18,18,13,10,12,19,16,13,6,10,9,3,5,3,6,9,19,9,14,18,11,10,14,10,11,7,14,16,18,9,13,9,10,14,20,18,18,20,13,26,11,13,9,16,13,7,18,15,14,10,13,9,7,3,7,8,9,9,9,7,8,3,4,4,10,3,3,4,2,4,2,1,1,0,2,2,1,0,1,2,0,1
E01033280,Sheffield 008G,761,7,5,7,5,11,10,9,6,6,6,12,8,9,17,9,5,11,9,8,5,3,6,3,4,7,10,13,14,10,12,3,7,5,5,7,9,11,13,9,13,13,7,8,10,8,16,16,15,19,15,10,21,13,8,6,18,13,15,16,10,11,17,9,3,9,7,11,7,4,11,11,4,4,8,4,4,4,5,7,4,4,4,7,1,1,3,3,1,3,1,3
E01008085,Sheffield 009A,722,8,13,8,9,7,12,7,15,7,10,11,10,9,10,6,12,10,6,13,8,9,9,10,6,16,5,6,11,17,9,11,5,7,10,8,7,11,6,13,8,2,8,6,8,10,5,17,12,17,17,11,4,8,8,10,15,8,11,12,3,7,5,5,6,5,5,9,11,13,8,7,8,5,6,8,2,6,3,3,1,6,4,1,2,2,1,4,1,3,1,7
E01008086,Sheffield 009B,698,14,17,5,11,6,8,12,6,9,5,17,12,8,15,13,6,10,13,10,10,4,8,6,5,7,11,15,12,9,10,16,12,4,10,10,8,10,5,7,9,10,6,6,6,6,12,10,11,6,14,11,19,6,5,12,8,7,5,8,3,4,9,10,8,6,9,6,2,4,4,6,5,3,5,4,2,5,5,8,6,2,4,5,4,3,4,2,1,3,0,3
E01008116,Sheffield 009C,683,10,3,6,7,7,9,11,10,14,9,8,11,8,16,11,7,12,3,10,7,9,11,10,11,7,14,7,9,17,7,6,6,5,8,8,8,12,11,8,4,7,6,10,11,5,15,8,15,12,12,7,15,10,4,3,7,13,11,8,8,10,6,4,5,6,3,4,6,5,3,9,6,6,2,8,8,5,7,7,5,0,3,4,2,1,2,1,3,0,0,8
E01008117,Sheffield 009D,651,9,4,2,7,2,8,12,8,8,10,8,14,8,14,6,7,3,7,9,4,5,7,6,4,9,13,8,11,5,12,6,12,7,12,8,17,10,15,5,5,7,9,6,9,7,10,8,5,8,10,8,9,6,8,6,7,8,5,7,6,10,11,9,7,6,8,5,4,5,10,11,11,3,6,7,5,1,1,5,6,6,1,5,6,5,4,4,1,0,2,10
E01008118,Sheffield 009E,723,5,10,9,16,8,8,5,9,8,4,8,7,16,10,6,8,4,8,6,7,6,10,4,6,17,13,15,12,16,6,11,13,11,11,14,11,7,7,7,8,10,6,4,11,7,5,15,13,10,11,12,10,10,3,15,10,6,16,7,7,9,14,6,8,6,4,6,6,2,8,11,5,6,8,4,4,3,6,8,5,6,4,3,4,6,1,2,1,4,1,7
E01008119,Sheffield 009F,656,12,6,13,12,9,9,10,8,13,7,9,7,6,12,13,7,18,4,11,7,6,12,7,8,11,10,6,4,4,6,10,11,15,8,16,8,8,9,8,3,7,12,7,11,8,14,11,11,9,11,12,5,13,12,11,7,9,10,6,5,4,5,3,3,0,5,3,4,4,4,8,2,5,6,5,1,4,3,3,3,4,1,2,1,6,1,0,1,1,0,10
E01008125,Sheffield 009G,799,8,3,13,9,7,11,10,10,4,12,5,16,19,13,8,15,6,12,12,6,5,10,7,7,7,16,10,11,14,9,14,8,7,16,8,5,9,8,8,9,7,13,7,4,17,9,13,7,13,9,11,15,11,8,7,9,8,7,11,12,8,8,6,11,9,6,12,9,12,20,10,9,6,10,1,6,7,5,8,5,5,7,2,4,1,8,3,4,1,1,10
E01007849,Sheffield 010A,"1,140",15,18,16,23,13,17,19,15,18,9,21,9,16,21,13,19,6,11,15,13,17,17,22,17,12,20,19,16,19,20,23,19,19,23,16,16,15,9,15,14,21,15,15,19,13,13,13,10,17,13,20,12,20,16,13,10,12,10,8,11,6,8,7,4,5,7,1,8,7,6,12,12,11,13,9,17,1,9,5,5,7,2,6,6,1,5,7,3,4,4,6
E01007857,Sheffield 010B,881,13,19,10,11,21,16,7,14,14,9,9,16,11,11,9,5,5,9,5,7,15,10,16,12,14,17,17,19,13,17,15,17,4,8,4,12,11,16,9,15,4,12,5,8,10,8,12,9,13,5,8,12,12,9,9,13,19,6,9,14,10,9,8,9,11,11,2,8,13,10,9,8,12,8,10,5,8,4,3,5,5,5,6,9,2,5,1,2,0,0,4
E01008059,Sheffield 010C,819,9,16,23,12,10,13,9,18,14,10,14,12,8,6,13,4,7,5,6,4,10,10,11,8,9,12,19,16,13,11,14,8,15,8,7,10,15,9,11,8,10,9,3,12,10,15,16,11,15,16,12,8,11,13,8,9,10,9,13,10,4,13,5,3,6,2,3,9,6,4,11,8,5,7,11,6,1,3,5,1,4,2,4,4,1,6,11,9,2,0,6
E01008060,Sheffield 010D,772,13,14,11,11,15,8,8,13,11,6,13,5,11,11,4,7,9,8,5,5,6,5,11,10,10,18,14,24,9,19,17,15,5,9,17,18,11,11,17,7,8,10,13,14,10,12,14,14,9,7,7,9,8,16,12,9,10,6,4,13,3,4,7,3,4,6,8,3,6,3,8,5,7,4,5,4,5,5,5,4,3,2,3,3,1,5,2,2,0,1,5
E01008061,Sheffield 011A,867,14,13,12,11,13,13,17,13,12,13,10,11,8,8,11,13,11,15,10,10,9,7,8,14,12,16,15,14,16,13,11,8,14,11,14,10,14,7,9,6,11,9,14,9,15,17,14,10,9,12,6,9,7,12,11,8,8,8,10,10,8,8,13,7,3,2,8,2,6,5,11,5,6,9,5,6,4,8,2,5,8,9,5,6,9,4,3,3,2,3,17
E01008063,Sheffield 011B,737,7,4,6,4,7,8,4,2,5,1,10,10,9,4,7,11,9,6,6,8,7,5,15,4,8,14,14,9,16,7,11,13,10,13,9,3,4,16,10,4,3,8,6,18,14,13,12,8,9,12,15,4,11,12,11,14,7,8,10,13,5,13,8,9,8,10,9,9,9,7,6,13,4,9,11,8,6,4,6,7,9,5,7,2,3,6,2,4,3,1,6
E01033277,Sheffield 011E,"1,405",19,24,27,27,22,31,20,26,27,18,26,17,16,12,14,18,15,29,12,16,15,12,20,18,24,38,41,38,44,44,25,18,22,23,24,27,18,20,23,19,14,11,11,8,18,13,11,23,12,20,17,18,11,13,10,15,20,17,13,8,11,7,9,14,9,11,15,8,5,13,6,13,6,6,6,4,7,3,7,4,4,4,5,2,2,2,1,3,2,2,2
E01008087,Sheffield 012A,789,7,9,5,5,4,4,6,3,8,7,6,6,9,6,9,7,11,3,11,5,8,11,9,13,9,15,16,13,14,11,10,4,8,9,6,11,5,10,5,13,7,13,6,14,11,9,10,10,8,10,12,12,15,18,5,13,12,16,9,12,5,6,16,7,11,6,9,6,5,6,12,14,10,13,8,4,1,5,12,7,13,5,4,4,3,5,4,4,5,6,20
E01008088,Sheffield 012B,699,4,3,5,3,7,8,8,3,3,4,5,6,4,9,6,3,2,6,7,6,3,6,7,3,4,18,12,18,17,15,8,13,9,7,10,11,4,8,11,6,7,9,3,8,9,12,12,15,14,7,5,14,12,8,13,11,18,9,15,13,7,4,4,10,5,4,5,9,7,9,9,5,12,10,6,8,5,10,9,9,8,8,3,8,5,2,0,6,2,1,3
E01008090,Sheffield 012C,881,12,16,13,13,16,15,18,21,28,8,10,6,8,13,6,11,11,8,10,5,7,6,7,10,20,20,13,21,14,15,23,13,14,20,14,12,9,9,12,12,5,1,10,7,3,12,18,14,14,8,10,8,13,10,8,14,16,9,11,13,12,6,10,7,8,10,7,5,4,7,7,5,5,5,3,5,5,5,5,4,3,2,3,4,4,4,2,2,0,4,5
E01008092,Sheffield 012D,751,4,14,10,7,11,6,6,4,7,4,6,12,5,7,2,6,7,5,5,7,5,7,4,3,11,9,13,13,7,12,16,12,12,12,15,14,6,9,8,7,9,9,6,9,8,10,7,11,9,5,4,7,7,8,17,8,11,8,8,4,10,4,7,11,7,14,6,9,8,11,9,8,6,10,11,5,4,7,8,7,3,6,10,8,6,7,8,3,4,4,35
