Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01008144,Sheffield 001A,835,9,6,6,5,10,10,18,5,9,14,7,14,9,10,8,7,8,8,13,7,8,8,7,8,13,17,16,9,10,11,11,3,7,11,7,12,7,11,8,5,8,19,15,15,18,15,21,5,11,8,17,13,12,14,13,6,11,7,8,15,9,3,6,10,17,8,10,9,13,11,11,7,7,11,8,5,7,5,8,4,5,3,0,3,6,2,6,6,1,3,8
E01008145,Sheffield 001B,716,9,6,5,5,7,3,7,6,7,9,7,9,7,13,7,6,5,8,8,10,10,5,6,9,10,9,12,8,8,8,12,6,7,6,11,5,7,8,10,7,9,3,6,10,10,9,9,15,11,9,12,7,6,11,7,9,15,9,17,12,14,11,14,5,6,7,11,13,10,8,10,9,12,6,7,8,8,9,6,4,5,4,8,3,3,3,2,3,0,0,3
E01008148,Sheffield 001C,715,4,5,8,7,7,5,10,12,13,15,12,9,8,11,10,7,12,7,6,5,7,3,8,8,9,5,8,4,8,7,6,10,9,6,2,10,8,9,14,8,6,7,8,8,6,9,14,9,11,12,9,5,11,10,8,9,11,15,11,13,7,2,8,9,4,8,7,10,4,12,14,6,8,11,9,9,8,8,6,6,3,3,7,5,3,3,2,5,1,3,10
E01008149,Sheffield 001D,703,6,3,7,4,8,9,12,5,9,7,13,6,9,15,6,3,6,8,4,8,9,5,5,12,8,8,13,9,5,5,3,7,6,7,9,8,9,6,7,9,7,8,15,9,9,10,8,14,13,3,13,8,10,15,15,16,5,16,11,8,9,7,6,8,10,2,13,5,10,12,11,13,10,9,7,10,5,3,5,4,4,2,2,1,1,3,7,0,4,1,8
E01008150,Sheffield 001E,729,5,7,5,3,10,8,12,9,8,11,11,8,11,7,12,9,12,8,6,4,7,8,4,9,7,14,5,10,7,7,10,5,9,8,7,8,10,8,5,6,6,5,9,11,8,15,16,11,7,16,10,7,8,8,2,9,6,8,8,14,8,6,11,8,10,13,8,8,18,16,6,6,11,8,5,10,3,6,6,5,5,11,3,5,2,0,2,2,4,1,18
E01008142,Sheffield 002A,757,13,7,11,11,14,11,2,7,10,12,12,12,10,5,8,16,11,12,11,9,12,2,5,11,5,11,17,8,12,10,12,7,11,10,11,13,14,11,18,10,7,12,10,11,12,11,9,15,11,13,18,13,5,10,7,8,13,7,11,12,4,10,7,6,7,7,4,7,6,7,5,4,4,7,6,5,4,2,4,2,1,1,3,1,1,0,2,3,2,2,4
E01008143,Sheffield 002B,785,6,5,7,8,9,4,3,6,5,8,5,12,8,13,11,10,2,14,8,9,8,7,6,8,4,16,6,16,14,9,9,11,10,6,7,6,8,16,7,9,10,11,12,7,9,8,13,17,11,8,27,10,18,15,15,15,13,14,12,20,13,4,9,8,5,9,11,7,9,9,9,5,7,7,6,9,4,6,6,5,5,7,6,3,1,2,1,0,1,1,9
E01008146,Sheffield 002C,619,6,9,4,8,9,3,9,7,8,8,4,10,6,8,3,1,5,5,7,9,5,3,4,7,4,3,13,6,11,8,1,4,2,3,5,3,5,8,5,6,7,6,6,5,12,9,8,15,15,14,12,11,12,11,6,10,9,9,13,5,5,10,11,7,12,10,9,5,10,5,15,7,10,12,9,10,6,2,1,6,6,2,5,2,1,0,4,0,2,1,4
E01008147,Sheffield 002D,668,9,2,3,9,7,4,3,2,9,8,2,5,8,6,5,10,8,5,5,4,2,5,6,11,10,11,6,4,6,6,5,1,2,3,6,4,6,4,7,5,8,9,7,7,9,9,6,11,11,9,8,9,14,8,17,13,8,8,12,16,13,8,9,6,15,7,9,11,12,18,17,13,13,19,10,6,10,10,4,5,7,6,5,4,1,1,0,2,2,0,2
E01007888,Sheffield 003A,681,9,12,5,5,7,6,5,7,9,5,9,8,8,9,7,4,7,6,8,4,7,9,8,6,5,17,7,13,4,6,5,6,5,2,4,8,10,9,9,9,10,6,8,7,12,8,15,15,19,11,14,15,10,10,10,7,12,6,8,10,9,10,7,8,10,10,9,13,6,16,17,9,10,8,6,3,4,3,6,2,3,2,2,2,2,0,0,1,0,0,1
