LSOA.code,LSOA.name,Population.all,Population.female,Population.male
E01008144,Sheffield 001A,"1,676",841,835
E01008145,Sheffield 001B,"1,419",703,716
E01008148,Sheffield 001C,"1,500",785,715
E01008149,Sheffield 001D,"1,437",734,703
E01008150,Sheffield 001E,"1,489",760,729
E01008142,Sheffield 002A,"1,544",787,757
E01008143,Sheffield 002B,"1,584",799,785
E01008146,Sheffield 002C,"1,258",639,619
E01008147,Sheffield 002D,"1,382",714,668
E01007888,Sheffield 003A,"1,345",664,681
E01007892,Sheffield 003B,"1,526",824,702
E01007893,Sheffield 003C,"1,462",746,716
E01007898,Sheffield 003D,"1,361",689,672
E01007899,Sheffield 003E,"1,403",727,676
E01007900,Sheffield 003F,"1,759",885,874
E01007901,Sheffield 003G,"1,527",781,746
E01007887,Sheffield 004A,"1,400",729,671
E01007889,Sheffield 004B,"2,655","1,348","1,307"
E01007890,Sheffield 004C,"1,385",699,686
E01007891,Sheffield 004D,"1,519",794,725
E01007894,Sheffield 004E,"1,368",693,675
E01007895,Sheffield 004F,"1,432",733,699
E01007896,Sheffield 004G,"1,201",607,594
E01007897,Sheffield 005A,"1,306",651,655
E01008134,Sheffield 005B,"1,248",632,616
E01008135,Sheffield 005C,"1,683",855,828
E01008137,Sheffield 005D,"1,426",737,689
E01008141,Sheffield 005E,"1,579",806,773
E01008053,Sheffield 006A,"1,326",662,664
E01008056,Sheffield 006B,"1,514",792,722
E01008058,Sheffield 006C,"1,552",812,740
E01008138,Sheffield 006D,"1,310",670,640
E01008139,Sheffield 006E,"1,572",813,759
E01007856,Sheffield 007A,"1,244",673,571
E01008054,Sheffield 007B,"1,345",705,640
E01008055,Sheffield 007C,"1,665",912,753
E01008057,Sheffield 007D,"1,608",884,724
E01008126,Sheffield 008A,"1,524",797,727
E01008128,Sheffield 008C,"1,790",890,900
E01008136,Sheffield 008D,"1,420",719,701
E01008140,Sheffield 008E,"1,931",982,949
E01033275,Sheffield 008F,"1,737",859,878
E01033280,Sheffield 008G,"1,574",761,813
E01008085,Sheffield 009A,"1,408",722,686
E01008086,Sheffield 009B,"1,331",698,633
E01008116,Sheffield 009C,"1,314",683,631
E01008117,Sheffield 009D,"1,326",651,675
E01008118,Sheffield 009E,"1,415",723,692
E01008119,Sheffield 009F,"1,253",656,597
E01008125,Sheffield 009G,"1,548",799,749
E01007849,Sheffield 010A,"2,244","1,140","1,104"
E01007857,Sheffield 010B,"1,667",881,786
E01008059,Sheffield 010C,"1,538",819,719
E01008060,Sheffield 010D,"1,471",772,699
E01008061,Sheffield 011A,"1,641",867,774
E01008063,Sheffield 011B,"1,436",737,699
E01033277,Sheffield 011E,"2,739","1,405","1,334"
E01008087,Sheffield 012A,"1,470",789,681
E01008088,Sheffield 012B,"1,356",699,657
E01008090,Sheffield 012C,"1,643",881,762
E01008092,Sheffield 012D,"1,457",751,706
E01008122,Sheffield 012E,"1,541",826,715
E01008124,Sheffield 012F,"1,480",762,718
E01007848,Sheffield 013A,"1,854",953,901
E01007851,Sheffield 013B,"1,378",684,694
E01007947,Sheffield 013C,"1,687",862,825
E01007948,Sheffield 013D,"1,804","1,002",802
E01008062,Sheffield 013E,"1,726",909,817
E01007847,Sheffield 014A,"1,289",636,653
E01007850,Sheffield 014B,"1,508",779,729
E01007852,Sheffield 014C,"1,481",715,766
E01007853,Sheffield 014D,"1,778",916,862
E01007854,Sheffield 014E,"1,749",979,770
E01007855,Sheffield 014F,"2,130","1,071","1,059"
E01007941,Sheffield 015A,"1,569",793,776
E01007945,Sheffield 015B,"1,799",939,860
E01007946,Sheffield 015C,"1,591",836,755
E01007950,Sheffield 015D,"1,601",862,739
E01008123,Sheffield 015E,"1,343",699,644
E01007987,Sheffield 016A,"1,495",745,750
E01007988,Sheffield 016B,"1,491",797,694
E01007989,Sheffield 016C,"1,430",768,662
E01007991,Sheffield 016D,"1,543",840,703
E01007995,Sheffield 017A,"1,467",742,725
E01008089,Sheffield 017B,"1,695",887,808
E01008091,Sheffield 017C,"1,477",748,729
E01008093,Sheffield 017D,"1,535",767,768
E01007903,Sheffield 018A,"1,705",819,886
E01007904,Sheffield 018B,"1,858",965,893
E01007913,Sheffield 018C,"1,662",833,829
E01007914,Sheffield 018D,"1,650",829,821
E01007870,Sheffield 019A,"1,946",902,"1,044"
E01007871,Sheffield 019B,"1,931",921,"1,010"
E01007943,Sheffield 019C,"1,751",949,802
E01008094,Sheffield 019D,"1,342",678,664
E01007869,Sheffield 020A,"1,805",915,890
E01007872,Sheffield 020B,"1,739",837,902
E01007873,Sheffield 020C,"2,052","1,012","1,040"
E01007942,Sheffield 020D,"2,194","1,081","1,113"
E01007949,Sheffield 020E,"1,891",930,961
E01007990,Sheffield 021A,"1,411",719,692
E01007992,Sheffield 021B,"1,648",825,823
E01007993,Sheffield 021C,"1,706",880,826
E01007994,Sheffield 021D,"1,386",733,653
E01007996,Sheffield 021E,"1,677",844,833
E01007874,Sheffield 022A,"2,171","1,136","1,035"
E01007875,Sheffield 022B,"2,037",935,"1,102"
E01007877,Sheffield 022D,"1,465",727,738
E01007940,Sheffield 022E,"2,118","1,091","1,027"
E01007944,Sheffield 022F,"2,464","1,152","1,312"
E01033269,Sheffield 022G,"2,109","1,022","1,087"
E01033270,Sheffield 022H,"1,954",822,"1,132"
E01008129,Sheffield 023A,"1,486",755,731
E01008130,Sheffield 023B,"1,526",788,738
E01008131,Sheffield 023C,"1,597",835,762
E01008132,Sheffield 023D,"1,326",664,662
E01008133,Sheffield 023E,"1,542",811,731
E01008151,Sheffield 024A,"1,554",712,842
E01008153,Sheffield 024B,"1,692",847,845
E01008154,Sheffield 024C,"1,704",887,817
E01008155,Sheffield 024D,"1,580",797,783
E01008156,Sheffield 024E,"1,449",730,719
E01008160,Sheffield 024F,"1,338",723,615
E01007997,Sheffield 025A,"1,496",778,718
E01007998,Sheffield 025B,"1,671",833,838
E01008152,Sheffield 025C,"1,457",697,760
E01008158,Sheffield 025D,"1,601",835,766
E01008065,Sheffield 026A,"2,132",904,"1,228"
E01008068,Sheffield 026B,"3,510","1,687","1,823"
E01008072,Sheffield 026C,"1,735",831,904
E01008157,Sheffield 026D,"1,609",851,758
E01008161,Sheffield 026E,"1,778",868,910
E01007883,Sheffield 027A,"1,732",926,806
E01007902,Sheffield 027B,"1,775",850,925
E01007905,Sheffield 027C,"2,072","1,092",980
E01007906,Sheffield 027D,"2,696","1,360","1,336"
E01008064,Sheffield 028A,"1,656",830,826
E01008066,Sheffield 028B,"1,706",805,901
E01008069,Sheffield 028C,"1,620",765,855
E01008074,Sheffield 028D,"1,473",703,770
E01007951,Sheffield 029A,"1,693",845,848
E01007960,Sheffield 029B,"1,671",839,832
E01007962,Sheffield 029C,"1,374",646,728
E01008159,Sheffield 029D,"1,527",823,704
E01007866,Sheffield 030A,"1,702",837,865
E01007867,Sheffield 030B,"2,052","1,060",992
E01007868,Sheffield 030C,"1,145",614,531
E01008067,Sheffield 030D,"1,762",833,929
E01008073,Sheffield 030E,"1,776",811,965
E01007907,Sheffield 032A,"1,705",845,860
E01007908,Sheffield 032B,"1,461",718,743
E01007909,Sheffield 032C,"2,428","1,218","1,210"
E01007911,Sheffield 032D,"1,362",690,672
E01008014,Sheffield 032E,"1,712",849,863
E01008016,Sheffield 032F,"1,583",751,832
E01007952,Sheffield 033A,"1,599",843,756
E01007953,Sheffield 033B,"1,561",795,766
E01007954,Sheffield 033C,"1,558",785,773
E01007961,Sheffield 033D,"1,551",798,753
E01007859,Sheffield 036A,"1,977",815,"1,162"
E01007860,Sheffield 036B,"1,746",787,959
E01007863,Sheffield 036C,"1,779",880,899
E01007864,Sheffield 036D,"2,299","1,153","1,146"
E01008104,Sheffield 036E,"1,628",798,830
E01007910,Sheffield 037A,"1,788",976,812
E01007912,Sheffield 037B,"1,478",768,710
E01007971,Sheffield 037C,"1,510",792,718
E01007973,Sheffield 037D,"1,526",765,761
E01007858,Sheffield 038A,"1,537",776,761
E01007861,Sheffield 038B,"1,567",802,765
E01007862,Sheffield 038C,"5,352","2,542","2,810"
E01007865,Sheffield 038D,"1,750",851,899
E01008011,Sheffield 039A,"1,647",877,770
E01008012,Sheffield 039B,"2,218","1,105","1,113"
E01008013,Sheffield 039C,"1,232",656,576
E01008015,Sheffield 039D,"1,697",821,876
E01008017,Sheffield 039E,"1,616",800,816
E01008018,Sheffield 039F,"1,388",767,621
E01008105,Sheffield 040A,"2,837","1,285","1,552"
E01008107,Sheffield 040C,"1,738",844,894
E01008111,Sheffield 040D,"1,666",857,809
E01033271,Sheffield 040E,"1,822",755,"1,067"
E01033272,Sheffield 040F,"1,376",595,781
E01007955,Sheffield 041A,"1,338",691,647
E01007956,Sheffield 041B,"2,092","1,062","1,030"
E01007957,Sheffield 041C,"1,640",838,802
E01007958,Sheffield 041D,"1,409",744,665
E01007959,Sheffield 041E,"1,436",762,674
E01008108,Sheffield 042A,"1,969",894,"1,075"
E01008109,Sheffield 042B,"3,048","1,397","1,651"
E01008112,Sheffield 042D,"1,738",840,898
E01008113,Sheffield 042E,"1,801",879,922
E01033273,Sheffield 042F,"2,604","1,226","1,378"
E01033274,Sheffield 042G,"2,177","1,057","1,120"
E01008095,Sheffield 043A,"1,760",853,907
E01008096,Sheffield 043B,"2,179","1,141","1,038"
E01008097,Sheffield 043C,"1,437",733,704
E01008101,Sheffield 043D,"1,879",952,927
E01007965,Sheffield 044A,"1,867","1,024",843
E01007969,Sheffield 044B,"1,498",736,762
E01007972,Sheffield 044C,"1,390",726,664
E01007974,Sheffield 044D,"1,400",719,681
E01007963,Sheffield 045A,"1,447",707,740
E01007967,Sheffield 045B,"1,808",891,917
E01007999,Sheffield 045C,"1,299",640,659
E01008008,Sheffield 045D,"1,669",890,779
E01008009,Sheffield 045E,"1,628",923,705
E01008043,Sheffield 046A,"1,650",805,845
E01008044,Sheffield 046B,"1,634",846,788
E01008047,Sheffield 046C,"1,529",748,781
E01008048,Sheffield 046D,"1,675",758,917
E01008050,Sheffield 046E,"1,613",761,852
E01007931,Sheffield 047A,"1,570",826,744
E01007934,Sheffield 047B,"1,481",750,731
E01007935,Sheffield 047C,"1,482",744,738
E01007936,Sheffield 047D,"1,685",857,828
E01007937,Sheffield 047E,"1,483",772,711
E01007938,Sheffield 047F,"1,542",828,714
E01008098,Sheffield 048A,"1,515",807,708
E01008100,Sheffield 048B,"1,368",746,622
E01008102,Sheffield 048C,"1,363",728,635
E01008103,Sheffield 048D,"1,227",626,601
E01007964,Sheffield 049A,"1,514",762,752
E01007966,Sheffield 049B,"1,503",776,727
E01007968,Sheffield 049C,"1,435",770,665
E01007970,Sheffield 049D,"1,610",764,846
E01008042,Sheffield 050A,"1,699",824,875
E01008045,Sheffield 050B,"1,434",720,714
E01008046,Sheffield 050C,"1,661",845,816
E01008049,Sheffield 050D,"1,693",864,829
E01008051,Sheffield 050E,"1,705",799,906
E01008052,Sheffield 050F,"2,040",956,"1,084"
