LSOA.code,LSOA.name,Population.all,People_per_Sq_Km,Population.female,Population.male
E01033276,Sheffield 073E,"5,156","43,328","2,095","3,061"
E01033267,Sheffield 074E,"1,547","31,443",773,774
E01033261,Sheffield 073A,"3,072","23,740","1,375","1,697"
E01007944,Sheffield 022F,"2,464","22,278","1,152","1,312"
E01007864,Sheffield 036D,"2,299","19,566","1,153","1,146"
E01008066,Sheffield 028B,"1,706","17,390",805,901
E01008107,Sheffield 040C,"1,738","15,960",844,894
E01008105,Sheffield 040A,"2,837","15,744","1,285","1,552"
E01008068,Sheffield 026B,"3,510","15,375","1,687","1,823"
E01033262,Sheffield 073B,"3,530","15,073","1,114","2,416"
E01008069,Sheffield 028C,"1,620","14,958",765,855
E01033266,Sheffield 074D,"2,296","14,458","1,067","1,229"
E01008047,Sheffield 046C,"1,529","13,483",748,781
E01008113,Sheffield 042E,"1,801","13,146",879,922
E01008064,Sheffield 028A,"1,656","13,143",830,826
E01008109,Sheffield 042B,"3,048","12,976","1,397","1,651"
E01033272,Sheffield 040F,"1,376","12,969",595,781
E01008115,Sheffield 074B,"1,828","12,227",770,"1,058"
E01007962,Sheffield 029C,"1,374","11,754",646,728
E01007940,Sheffield 022E,"2,118","11,728","1,091","1,027"
E01008074,Sheffield 028D,"1,473","11,490",703,770
E01008114,Sheffield 074A,"3,465","11,195","1,607","1,858"
E01007867,Sheffield 030B,"2,052","11,164","1,060",992
E01007989,Sheffield 016C,"1,430","10,992",768,662
E01007994,Sheffield 021D,"1,386","10,957",733,653
E01007936,Sheffield 047D,"1,685","10,892",857,828
E01007992,Sheffield 021B,"1,648","10,778",825,823
E01007995,Sheffield 017A,"1,467","10,739",742,725
E01033271,Sheffield 040E,"1,822","10,489",755,"1,067"
E01007980,Sheffield 053B,"1,552","10,326",817,735
E01008051,Sheffield 050E,"1,705","10,161",799,906
E01008050,Sheffield 046E,"1,613","9,981",761,852
E01007906,Sheffield 027D,"2,696","9,705","1,360","1,336"
E01033265,Sheffield 074C,"1,685","9,678",721,964
E01033273,Sheffield 042F,"2,604","9,452","1,226","1,378"
E01008155,Sheffield 024D,"1,580","9,360",797,783
E01007874,Sheffield 022A,"2,171","9,274","1,136","1,035"
E01008101,Sheffield 043D,"1,879","9,034",952,927
E01007949,Sheffield 020E,"1,891","9,026",930,961
E01008151,Sheffield 024A,"1,554","8,830",712,842
E01008153,Sheffield 024B,"1,692","8,822",847,845
E01007987,Sheffield 016A,"1,495","8,577",745,750
E01008065,Sheffield 026A,"2,132","8,535",904,"1,228"
E01008042,Sheffield 050A,"1,699","8,525",824,875
E01008159,Sheffield 029D,"1,527","8,372",823,704
E01008062,Sheffield 013E,"1,726","8,330",909,817
E01008052,Sheffield 050F,"2,040","8,186",956,"1,084"
E01007986,Sheffield 059E,"1,370","8,160",712,658
E01007847,Sheffield 014A,"1,289","8,153",636,653
E01008046,Sheffield 050C,"1,661","8,142",845,816
E01007882,Sheffield 075D,"1,702","8,097",689,"1,013"
E01007998,Sheffield 025B,"1,671","8,065",833,838
E01008112,Sheffield 042D,"1,738","7,940",840,898
E01008073,Sheffield 030E,"1,776","7,834",811,965
E01007919,Sheffield 069C,"1,748","7,772",925,823
E01007862,Sheffield 038C,"5,352","7,744","2,542","2,810"
E01008036,Sheffield 063C,"1,359","7,588",655,704
E01008022,Sheffield 065C,"1,467","7,562",723,744
E01007948,Sheffield 013D,"1,804","7,498","1,002",802
E01007832,Sheffield 059D,"1,525","7,486",771,754
E01007935,Sheffield 047C,"1,482","7,395",744,738
E01007960,Sheffield 029B,"1,671","7,262",839,832
E01007875,Sheffield 022B,"2,037","7,254",935,"1,102"
E01007859,Sheffield 036A,"1,977","7,112",815,"1,162"
