LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01008144,Sheffield 001A,"1,622",205,185,154,211,278,181,204,109,73,22
E01008145,Sheffield 001B,"1,440",129,145,161,130,192,219,198,166,81,19
E01008148,Sheffield 001C,"1,510",182,165,146,161,224,198,210,139,76,9
E01008149,Sheffield 001D,"1,455",176,151,152,167,223,202,215,113,50,6
E01008150,Sheffield 001E,"1,415",173,139,166,175,183,167,180,103,90,39
E01008142,Sheffield 002A,"1,479",184,196,185,195,239,180,137,79,65,19
E01008143,Sheffield 002B,"1,596",169,161,170,187,282,243,190,147,42,5
E01008146,Sheffield 002C,"1,280",126,144,85,108,222,202,233,112,40,8
E01008147,Sheffield 002D,"1,408",121,117,112,126,217,206,276,165,56,12
E01007888,Sheffield 003A,"1,381",158,135,150,166,254,196,216,85,18,3
E01007892,Sheffield 003B,"1,447",184,173,178,126,206,214,160,124,68,14
E01007893,Sheffield 003C,"1,485",112,149,151,143,222,245,225,169,63,6
E01007898,Sheffield 003D,"1,435",152,160,172,192,249,256,148,62,36,8
E01007899,Sheffield 003E,"1,449",133,148,109,103,209,227,278,165,67,10
E01007900,Sheffield 003F,"1,707",219,201,219,201,251,212,205,130,57,12
E01007901,Sheffield 003G,"1,478",173,181,149,177,197,172,175,140,92,22
E01007887,Sheffield 004A,"1,373",156,155,157,159,223,203,164,84,58,14
E01007889,Sheffield 004B,"2,653",412,306,270,366,504,339,243,134,67,12
E01007890,Sheffield 004C,"1,434",136,152,120,171,228,212,225,124,43,23
E01007891,Sheffield 004D,"1,494",116,164,123,92,228,217,255,205,84,10
E01007894,Sheffield 004E,"1,407",152,132,172,196,211,190,169,111,64,10
E01007895,Sheffield 004F,"1,420",114,154,147,119,223,203,194,149,96,21
E01007896,Sheffield 004G,"1,292",111,134,99,133,186,217,258,107,37,10
E01007897,Sheffield 005A,"1,347",91,118,100,93,195,182,295,204,59,10
E01008134,Sheffield 005B,"1,267",98,111,111,104,183,187,212,138,99,24
E01008135,Sheffield 005C,"1,775",170,169,214,243,289,246,222,118,77,27
E01008137,Sheffield 005D,"1,430",113,130,103,126,199,207,255,196,88,13
E01008141,Sheffield 005E,"1,534",155,140,136,163,239,208,243,160,81,9
E01008053,Sheffield 006A,"1,286",150,165,118,141,195,162,156,137,53,9
E01008056,Sheffield 006B,"1,537",188,222,190,171,247,182,177,100,50,10
E01008058,Sheffield 006C,"1,425",126,150,144,118,246,212,186,159,69,15
E01008138,Sheffield 006D,"1,307",125,149,100,126,195,173,171,157,91,20
E01008139,Sheffield 006E,"1,588",159,159,209,176,252,162,202,191,62,16
E01007856,Sheffield 007A,"1,232",227,143,172,153,176,150,86,82,41,2
E01008054,Sheffield 007B,"1,341",247,178,212,173,203,141,85,66,30,6
E01008055,Sheffield 007C,"1,628",285,212,252,203,222,170,106,88,62,28
E01008057,Sheffield 007D,"1,515",282,218,205,194,229,158,106,74,44,5
E01008126,Sheffield 008A,"1,518",123,168,116,98,256,248,248,195,60,6
E01008128,Sheffield 008C,"1,742",182,156,168,220,306,278,227,141,62,2
E01008136,Sheffield 008D,"1,330",152,166,105,147,203,191,198,113,49,6
E01008140,Sheffield 008E,"1,889",240,176,167,282,306,231,204,145,102,36
E01033275,Sheffield 008F,"1,692",279,199,216,296,288,219,130,45,19,1
E01033280,Sheffield 008G,"1,548",180,203,124,190,297,239,184,92,36,3
E01008085,Sheffield 009A,"1,460",163,196,185,153,212,186,174,120,59,12
E01008086,Sheffield 009B,"1,329",209,162,168,176,218,155,105,95,33,8
E01008116,Sheffield 009C,"1,341",194,210,178,127,183,184,122,97,39,7
E01008117,Sheffield 009D,"1,235",162,158,126,143,184,154,152,99,38,19
E01008118,Sheffield 009E,"1,409",218,138,199,159,187,181,142,117,58,10
E01008119,Sheffield 009F,"1,263",227,195,149,150,179,142,94,61,45,21
E01008125,Sheffield 009G,"1,512",190,199,171,141,244,178,193,105,75,16
E01007849,Sheffield 010A,"2,153",388,308,303,291,307,196,156,139,55,10
E01007857,Sheffield 010B,"1,631",288,201,217,206,187,193,168,119,45,7
E01008059,Sheffield 010C,"1,498",251,210,198,178,211,184,139,77,43,7
E01008060,Sheffield 010D,"1,432",233,181,171,211,205,172,117,86,50,6
E01008061,Sheffield 011A,"1,535",255,217,205,185,208,173,114,102,65,11
E01008063,Sheffield 011B,"1,523",134,167,196,158,233,194,196,143,79,23
E01033277,Sheffield 011E,"2,416",449,336,355,343,301,248,190,120,66,8
E01008087,Sheffield 012A,"1,529",144,143,166,204,220,231,181,139,86,15
E01008088,Sheffield 012B,"1,381",118,127,183,167,229,181,159,152,61,4
E01008090,Sheffield 012C,"1,646",293,166,240,203,225,202,166,95,51,5
E01008092,Sheffield 012D,"1,430",169,130,189,206,195,169,157,110,75,30
E01008122,Sheffield 012E,"1,358",263,173,209,179,166,145,98,77,42,6
E01008124,Sheffield 012F,"1,458",315,156,264,228,170,130,105,61,24,5
E01007848,Sheffield 013A,"1,752",291,207,246,209,263,166,167,126,57,20
E01007851,Sheffield 013B,"1,367",233,225,216,149,176,159,116,62,27,4
E01007947,Sheffield 013C,"1,657",231,170,148,162,252,253,187,139,100,15
E01007948,Sheffield 013D,"1,774",331,322,199,223,233,170,117,111,61,7
E01008062,Sheffield 013E,"1,733",351,280,221,161,241,165,148,91,58,17
E01007847,Sheffield 014A,"1,264",134,110,161,155,208,163,143,125,56,9
E01007850,Sheffield 014B,"1,581",164,195,195,150,248,217,189,174,44,5
E01007852,Sheffield 014C,"1,476",177,147,186,238,249,209,147,103,18,2
E01007853,Sheffield 014D,"1,697",169,196,226,206,268,203,205,133,69,22
E01007854,Sheffield 014E,"1,700",372,233,245,230,270,172,105,54,17,2
E01007855,Sheffield 014F,"2,118",441,263,338,338,262,213,164,74,22,3
E01007941,Sheffield 015A,"1,569",195,202,150,158,215,210,189,153,83,14
E01007945,Sheffield 015B,"1,808",317,227,238,197,256,227,178,108,52,8
E01007946,Sheffield 015C,"1,545",299,203,225,224,211,188,102,67,24,2
E01007950,Sheffield 015D,"1,594",319,216,208,218,195,162,118,122,32,4
E01008123,Sheffield 015E,"1,285",231,154,187,152,152,161,108,74,46,20
E01007987,Sheffield 016A,"1,496",198,163,181,206,282,217,132,79,30,8
E01007988,Sheffield 016B,"1,552",165,184,129,162,273,207,211,143,71,7
E01007989,Sheffield 016C,"1,382",153,132,155,237,241,181,158,87,36,2
E01007991,Sheffield 016D,"1,465",162,233,166,151,196,207,153,138,46,13
E01007995,Sheffield 017A,"1,453",178,127,276,308,209,168,105,58,21,3
E01008089,Sheffield 017B,"1,704",283,242,270,219,252,163,109,104,57,5
E01008091,Sheffield 017C,"1,444",164,131,270,241,246,201,112,65,13,1
E01008093,Sheffield 017D,"1,470",127,119,267,241,219,203,136,107,45,6
E01007903,Sheffield 018A,"1,624",236,256,200,223,252,145,131,130,43,8
E01007904,Sheffield 018B,"1,653",293,224,219,217,179,131,171,154,61,4
E01007913,Sheffield 018C,"1,584",395,222,253,279,157,99,83,65,26,5
E01007914,Sheffield 018D,"1,553",295,295,215,274,193,111,78,54,29,9
E01007870,Sheffield 019A,"1,854",254,234,274,276,250,221,148,132,52,13
E01007871,Sheffield 019B,"1,876",294,193,244,261,275,224,129,164,85,7
E01007943,Sheffield 019C,"1,616",286,191,199,193,231,156,144,121,81,14
E01008094,Sheffield 019D,"1,213",170,141,174,113,149,138,125,118,65,20
E01007869,Sheffield 020A,"1,781",358,305,260,259,206,188,103,54,43,5
E01007872,Sheffield 020B,"1,701",294,240,222,249,228,168,150,90,49,11
E01007873,Sheffield 020C,"1,919",391,247,342,262,235,149,103,114,51,25
E01007942,Sheffield 020D,"1,930",360,356,351,302,213,164,86,56,35,7
